meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
252.125,100,633,14893.661290322581,122.03958902881713,0.08221863165441404,0.028097866195369903,0.5688394929587803,0.014722939830015361,0.12133812191564265,3.2,19,871.7368421052631,33,5434,1.9,0.5483870967741935,0.5806451612903226,72.15288304106768,Inspection,10,19
301.25,100,767,33462.71296296296,182.9281633947134,0.054772728323804636,0.013539527942636765,0.1865580532442522,0.0017374823810496205,0.04168311865791259,2.8,14,626.0714285714286,33,2566,1.4,0.37037037037037035,0.37037037037037035,498.70601373997414,Inspection,10,19
328.0769230769231,100,900,41434.553846153845,203.55479322814742,0.054900552188910906,0.019608943581878632,0.2108348438566415,0.0020995807598850067,0.04582118243656537,2.6,13,807.9230769230769,34,2833,1.3,0.56,0.4,427.6890243363214,Inspection,10,19
291.26666666666665,100,967,40148.82298850575,200.37171204665032,0.05755997615173747,0.024452179834924453,0.1807892215575957,0.001562062835282646,0.039522940620387116,3.0,1,6033.0,6033,6033,0.1,0.4827586206896552,0.5172413793103449,255.42752824940985,Inspection,10,19
234.1764705882353,100,700,27460.695187165777,165.71268867279227,0.046630239019286125,0.009007844093453987,0.12447539944360415,0.0006630168223060003,0.025749113039209726,3.4,15,942.2,233,1633,1.5,0.42424242424242425,0.36363636363636365,470.2159023975619,Inspection,10,19
264.48387096774195,100,1100,43353.791397849454,208.21573282979713,0.047639605000138564,0.004002889983216527,0.18165072148957084,0.0012381382661489763,0.03518718894923231,3.1,11,751.3636363636364,33,2534,1.1,0.5333333333333333,0.6,342.8426455109899,Inspection,10,19
245.45454545454547,100,834,28464.630681818184,168.7146427605446,0.05297768331811295,0.022266223778551777,0.160702214940669,0.0009123255432870925,0.030204727167896957,3.3,15,744.5333333333333,33,2900,1.5,0.46875,0.46875,956.5398274372004,Inspection,10,19
378.30434782608694,133,1500,121835.31225296445,349.04915449398305,0.07583527821791704,0.02800197721970081,0.4507337064745354,0.011770261572423802,0.10849083635231042,2.3,15,731.0666666666667,33,2900,1.5,0.6818181818181818,0.45454545454545453,33.156860178539404,Reading,10,19
300.13793103448273,100,734,30490.62315270936,174.61564406635895,0.060075377875649365,0.008116837195888342,0.4017667480781061,0.007424781640780011,0.08616717264004901,2.9,12,749.8333333333334,33,2100,1.2,0.75,0.5357142857142857,120.90634943342084,Reading,10,19
369.4583333333333,100,1033,70198.78079710146,264.9505251874422,0.05794693493609706,0.009581818504759273,0.35269516171463605,0.0066573969455247335,0.08159287312948806,2.4,13,917.9230769230769,133,2600,1.3,0.8695652173913043,0.5652173913043478,110.92391544921603,Reading,10,19
283.43333333333334,100,767,27173.702298850574,164.84447912760248,0.04362529385176319,0.004744499658477743,0.20725173188105897,0.0016184542978873563,0.04023001737368947,3.0,7,495.0,33,1533,0.7,0.8620689655172413,0.6206896551724138,131.4706938801169,Reading,10,19
326.0740740740741,100,600,21994.14814814815,148.30424184138548,0.04969928237263531,0.017440212185812317,0.43271651800847616,0.006050595600467261,0.07778557450110696,2.7,14,1021.3571428571429,0,5533,1.4,0.8846153846153846,0.5769230769230769,127.4163634990534,Reading,10,19
352.0,133,800,38552.0,196.34663226039808,0.04877799868628019,0.024154577134351134,0.3199628516397999,0.00335162857508131,0.05789325155042952,2.5,9,848.4444444444445,33,3034,0.9,0.7916666666666666,0.5,112.89457627559568,Reading,10,19
354.125,100,1067,72017.67934782608,268.3610987975457,0.048377816359595864,0.027999467842197163,0.1358559323400221,0.0012216614372371967,0.03495227370625832,2.4,17,912.0588235294117,467,2567,1.7,0.7391304347826086,0.5217391304347826,106.7078974125836,Reading,10,19
187.23076923076923,100,466,10022.866396761134,100.1142666994127,0.06922904652469307,0.027976145520167122,0.306749921411461,0.004418889182980179,0.06647472589623954,3.9,23,657.8260869565217,33,2100,2.3,0.39473684210526316,0.5526315789473685,182.18890532361024,Search,10,19
206.65714285714284,100,1167,35880.64369747899,189.42186699924324,0.048909908468135824,0.028033758019040404,0.29787864171065154,0.002232799656973901,0.047252509530964604,3.5,20,993.3,167,2834,2.0,0.47058823529411764,0.4117647058823529,80.59053425938369,Search,10,19
290.39285714285717,100,1033,50314.32142857143,224.30854069466778,0.054237643788816695,0.019323489808250122,0.266468083717673,0.002843380861316393,0.053323361309246,2.8,19,898.0526315789474,33,4734,1.9,0.4444444444444444,0.4444444444444444,130.779676986351,Search,10,19
207.68571428571428,100,667,17790.28067226891,133.38021094701008,0.060248008088591806,0.02803912651949238,0.20651609299137352,0.002183800846697415,0.04673115498997874,3.5,30,969.9666666666667,266,1066,3.0,0.5294117647058824,0.5882352941176471,243.75305339438702,Search,10,19
204.91176470588235,100,434,9103.23440285205,95.4108715129049,0.07492281346459198,0.02806227778563789,0.23551164225819915,0.0030123429198538865,0.05488481502067659,3.4,32,846.96875,200,1766,3.2,0.42424242424242425,0.45454545454545453,132.19748240346144,Search,10,19
344.84615384615387,100,800,38939.655384615384,197.3313340162058,0.05731545097961467,0.0189924956029709,0.24427967240419332,0.0032498449868643303,0.057007411683607685,2.6,3,2444.6666666666665,167,3800,0.3,0.52,0.52,377.2380322754095,Search,10,19
295.37931034482756,100,834,35186.02955665025,187.57939534141335,0.040745740822884506,0.006772112456482536,0.11383759071188046,0.000572181967793257,0.023920325411525174,2.9,7,1300.142857142857,33,3267,0.7,0.4642857142857143,0.6428571428571429,423.050644337933,Search,10,19
260.06666666666666,100,633,18743.92380952381,136.9084504679087,0.11728282022263604,0.028107396035808124,0.5688394929587803,0.029131678867205767,0.17068004823999133,3.0,16,585.1875,33,1334,3.2,0.6428571428571429,0.6428571428571429,33.821663925500474,Inspection,5,19
252.125,100,467,11836.783333333333,108.79698218853927,0.049379876583274515,0.028097866195369903,0.10942494561372523,0.0008604534966698939,0.029333487632224944,3.2,3,1522.3333333333333,566,2801,0.6,0.4666666666666667,0.4666666666666667,1233.9607373282508,Inspection,5,19
